system,DODPBEP86/def2-QZVP/ORCA
S66x8/66-150,-343.6858434858
S66x8/66-200,-343.6846090019
NCIBLIND10/01-A,-231.9129651666
NCIBLIND10/01-B,-40.4559682543
NCIBLIND10/01-1,-272.366990134
NCIBLIND10/01-2,-272.3701856833
NCIBLIND10/01-3,-272.3695567329
NCIBLIND10/01-4,-272.3691218568
NCIBLIND10/01-5,-272.3690036578
NCIBLIND10/01-6,-272.3689640906
NCIBLIND10/01-7,-272.3689483606
NCIBLIND10/02-A,-231.9141204673
NCIBLIND10/02-B,-76.3635207746
NCIBLIND10/02-1,-308.2673410219
NCIBLIND10/02-2,-308.2810215313
NCIBLIND10/02-3,-308.2816763289
NCIBLIND10/02-4,-308.2805024733
NCIBLIND10/02-5,-308.2795251165
NCIBLIND10/02-6,-308.2788920702
NCIBLIND10/02-7,-308.2782444824
NCIBLIND10/02-8,-308.2779784855
NCIBLIND10/02-9,-308.2778484342
NCIBLIND10/03-A,-154.8619339211
NCIBLIND10/03-B,-154.8619180747
NCIBLIND10/03-1,-309.7236879136
NCIBLIND10/03-2,-309.7265750976
NCIBLIND10/03-3,-309.7254210409
NCIBLIND10/03-4,-309.7244175786
NCIBLIND10/03-5,-309.724105256
NCIBLIND10/03-6,-309.7239869179
NCIBLIND10/03-7,-309.7239353327
NCIBLIND10/04-A,-598.8835989008
NCIBLIND10/04-B,-598.8848839221
NCIBLIND10/04-1,-1197.7739077677
NCIBLIND10/04-2,-1197.781526197
NCIBLIND10/04-3,-1197.7793653513
NCIBLIND10/04-4,-1197.774187381
NCIBLIND10/04-5,-1197.7715930319
NCIBLIND10/04-6,-1197.7702609357
NCIBLIND10/04-7,-1197.7695255975
NCIBLIND10/04-8,-1197.7691093403
NCIBLIND10/05-A,-597.7145602572
NCIBLIND10/05-B,-597.7145204966
NCIBLIND10/05-1,-1195.4444231303
NCIBLIND10/05-2,-1195.4470995988
NCIBLIND10/05-3,-1195.4406222732
NCIBLIND10/05-4,-1195.4356777351
NCIBLIND10/05-5,-1195.433354621
NCIBLIND10/05-6,-1195.4320601325
NCIBLIND10/06-A,-225.9310530911
NCIBLIND10/06-B,-225.9319288917
NCIBLIND10/06-1,-451.8716280006
NCIBLIND10/06-2,-451.878295651
NCIBLIND10/06-3,-451.8712775879
NCIBLIND10/06-4,-451.8668178961
NCIBLIND10/06-5,-451.8650937829
NCIBLIND10/06-6,-451.864282508
NCIBLIND10/06-7,-451.8638480787
NCIBLIND10/07-A,-228.821955548
NCIBLIND10/07-B,-228.8222888519
NCIBLIND10/07-1,-457.6471708061
NCIBLIND10/07-2,-457.6482605486
NCIBLIND10/07-3,-457.646246017
NCIBLIND10/07-4,-457.6449630671
NCIBLIND10/07-5,-457.6445367593
NCIBLIND10/07-6,-457.6443721923
NCIBLIND10/08-A,-436.2298419935
NCIBLIND10/08-B,-436.2298419941
NCIBLIND10/08-1,-872.4503754054
NCIBLIND10/08-2,-872.4640420506
NCIBLIND10/08-3,-872.4647389187
NCIBLIND10/08-4,-872.4618190828
NCIBLIND10/08-5,-872.4608038586
NCIBLIND10/08-6,-872.4604000378
NCIBLIND10/08-7,-872.4602168137
NCIBLIND10/09-A,-244.7675009002
NCIBLIND10/09-B,-244.7674482023
NCIBLIND10/09-1,-489.5357882936
NCIBLIND10/09-2,-489.5421677159
NCIBLIND10/09-3,-489.5396652048
NCIBLIND10/09-4,-489.5371834323
NCIBLIND10/09-5,-489.5361905992
NCIBLIND10/09-6,-489.5357157192
NCIBLIND10/09-7,-489.5354597788
NCIBLIND10/10-A,-76.363667622
NCIBLIND10/10-B,-76.3636999507
NCIBLIND10/10-1,-152.7140452788
NCIBLIND10/10-2,-152.7322998147
NCIBLIND10/10-3,-152.7354051816
NCIBLIND10/10-4,-152.7344608645
NCIBLIND10/10-5,-152.7328387492
NCIBLIND10/10-6,-152.7306924836
NCIBLIND10/10-7,-152.7294945983
NCIBLIND10/10-8,-152.7287916413
NCIBLIND10/10-9,-152.7283734502
NCIBLIND10/10-10,-152.7281081511
NCIBLIND10/10-11,-152.7279318388
NCIBLIND10/10-12,-152.7278110034
NCIBLIND10/10-13,-152.7277263229
NCIBLIND10/10-14,-152.7276636586
NCIBLIND10/10-15,-152.7276164816
NCIBLIND10/10-16,-152.7275801706
