system,M06L/def2-QZVP/ORCA
S66x8/66-200,-344.2444691658
NCIBLIND10/01-A,-232.3118697537
NCIBLIND10/01-B,-40.5307065364
NCIBLIND10/01-1,-272.8417930943
NCIBLIND10/01-2,-272.8439505744
NCIBLIND10/01-3,-272.8433539542
NCIBLIND10/01-4,-272.8427563905
NCIBLIND10/01-5,-272.8426012891
NCIBLIND10/01-6,-272.8425871502
NCIBLIND10/01-7,-272.8425820644
NCIBLIND10/02-A,-232.3134739211
NCIBLIND10/02-B,-76.4533493858
NCIBLIND10/02-1,-308.7583829404
NCIBLIND10/02-2,-308.7711119106
NCIBLIND10/02-3,-308.7707295516
NCIBLIND10/02-4,-308.7696929139
NCIBLIND10/02-5,-308.7686463547
NCIBLIND10/02-6,-308.7678917378
NCIBLIND10/02-7,-308.7673197303
NCIBLIND10/02-8,-308.7670875527
NCIBLIND10/02-9,-308.7669879515
NCIBLIND10/03-A,-155.0903408062
NCIBLIND10/03-B,-155.0903091437
NCIBLIND10/03-1,-310.1830925364
NCIBLIND10/03-2,-310.1848424008
NCIBLIND10/03-3,-310.1826291378
NCIBLIND10/03-4,-310.1811878208
NCIBLIND10/03-5,-310.1808391777
NCIBLIND10/03-6,-310.180744764
NCIBLIND10/03-7,-310.1807110548
NCIBLIND10/04-A,-599.7118449458
NCIBLIND10/04-B,-599.7127267087
NCIBLIND10/04-1,-1199.4380531514
NCIBLIND10/04-2,-1199.4429694618
NCIBLIND10/04-3,-1199.4371818858
NCIBLIND10/04-4,-1199.4306969355
NCIBLIND10/04-5,-1199.4275813047
NCIBLIND10/04-6,-1199.4262277052
NCIBLIND10/04-7,-1199.4255330968
NCIBLIND10/04-8,-1199.4251557657
NCIBLIND10/05-A,-598.5432639569
NCIBLIND10/05-B,-598.5434464346
NCIBLIND10/05-1,-1197.1042531431
NCIBLIND10/05-2,-1197.1061741353
NCIBLIND10/05-3,-1197.0982912687
NCIBLIND10/05-4,-1197.0933544045
NCIBLIND10/05-5,-1197.0910209077
NCIBLIND10/05-6,-1197.0897316262
NCIBLIND10/06-A,-226.2859107855
NCIBLIND10/06-B,-226.2868084654
NCIBLIND10/06-1,-452.5797718377
NCIBLIND10/06-2,-452.5869358214
NCIBLIND10/06-3,-452.5798617818
NCIBLIND10/06-4,-452.5762286417
NCIBLIND10/06-5,-452.5746597253
NCIBLIND10/06-6,-452.5739112146
NCIBLIND10/06-7,-452.5735139833
NCIBLIND10/07-A,-229.1417821876
NCIBLIND10/07-B,-229.1421103246
NCIBLIND10/07-1,-458.287113957
NCIBLIND10/07-2,-458.2877979839
NCIBLIND10/07-3,-458.2858507044
NCIBLIND10/07-4,-458.2845017917
NCIBLIND10/07-5,-458.2841013613
NCIBLIND10/07-6,-458.2839731481
NCIBLIND10/08-A,-436.8933535835
NCIBLIND10/08-B,-436.8933534858
NCIBLIND10/08-1,-873.7852144206
NCIBLIND10/08-2,-873.7960014315
NCIBLIND10/08-3,-873.7925183966
NCIBLIND10/08-4,-873.7886625323
NCIBLIND10/08-5,-873.7876514042
NCIBLIND10/08-6,-873.7873567157
NCIBLIND10/08-7,-873.7873032232
NCIBLIND10/09-A,-245.1019795795
NCIBLIND10/09-B,-245.1018761755
NCIBLIND10/09-1,-490.2085939235
NCIBLIND10/09-2,-490.2128674974
NCIBLIND10/09-3,-490.2089887541
NCIBLIND10/09-4,-490.2060116624
NCIBLIND10/09-5,-490.2049828523
NCIBLIND10/09-6,-490.2045579205
NCIBLIND10/09-7,-490.2043278175
NCIBLIND10/10-A,-76.4535448796
NCIBLIND10/10-B,-76.4537065687
NCIBLIND10/10-1,-152.8925750287
NCIBLIND10/10-2,-152.9118060516
NCIBLIND10/10-3,-152.9149319622
NCIBLIND10/10-4,-152.9136984105
NCIBLIND10/10-5,-152.9119573581
NCIBLIND10/10-6,-152.9102543123
NCIBLIND10/10-7,-152.9091409848
NCIBLIND10/10-8,-152.9084928777
NCIBLIND10/10-9,-152.908092057
NCIBLIND10/10-10,-152.9078376987
NCIBLIND10/10-11,-152.9076723759
NCIBLIND10/10-12,-152.9075587905
NCIBLIND10/10-13,-152.9074794023
NCIBLIND10/10-14,-152.9074208786
NCIBLIND10/10-15,-152.9073767805
NCIBLIND10/10-16,-152.9073428706
