system,O3LYP/def2-QZVP/ORCA
S66x8/66-150,-343.5393440422
S66x8/66-200,-343.5383595687
NCIBLIND10/01-A,-231.8117788304
NCIBLIND10/01-B,-40.4262154669
NCIBLIND10/01-1,-272.2331660106
NCIBLIND10/01-2,-272.2375823615
NCIBLIND10/01-3,-272.2383457891
NCIBLIND10/01-4,-272.2381282648
NCIBLIND10/01-5,-272.2380386013
NCIBLIND10/01-6,-272.2380108547
NCIBLIND10/01-7,-272.2380020458
NCIBLIND10/02-A,-231.8136481058
NCIBLIND10/02-B,-76.3370903606
NCIBLIND10/02-1,-308.1388014831
NCIBLIND10/02-2,-308.1520069587
NCIBLIND10/02-3,-308.1536450412
NCIBLIND10/02-4,-308.1532029793
NCIBLIND10/02-5,-308.1525350309
NCIBLIND10/02-6,-308.1519741802
NCIBLIND10/02-7,-308.1513081441
NCIBLIND10/02-8,-308.1510538628
NCIBLIND10/02-9,-308.1509339432
NCIBLIND10/03-A,-154.7932527102
NCIBLIND10/03-B,-154.7932098589
NCIBLIND10/03-1,-309.5831421366
NCIBLIND10/03-2,-309.5868429107
NCIBLIND10/03-3,-309.5877066964
NCIBLIND10/03-4,-309.5869819374
NCIBLIND10/03-5,-309.5866758357
NCIBLIND10/03-6,-309.5865715796
NCIBLIND10/03-7,-309.5865312971
NCIBLIND10/04-A,-598.7260738587
NCIBLIND10/04-B,-598.7267400316
NCIBLIND10/04-1,-1197.4490449044
NCIBLIND10/04-2,-1197.458189171
NCIBLIND10/04-3,-1197.4613484997
NCIBLIND10/04-4,-1197.4580910174
NCIBLIND10/04-5,-1197.4558577274
NCIBLIND10/04-6,-1197.454559959
NCIBLIND10/04-7,-1197.4538329123
NCIBLIND10/04-8,-1197.4534284549
NCIBLIND10/05-A,-597.5689803293
NCIBLIND10/05-B,-597.569147028
NCIBLIND10/05-1,-1195.1519040003
NCIBLIND10/05-2,-1195.1546111113
NCIBLIND10/05-3,-1195.1497489021
NCIBLIND10/05-4,-1195.1449524782
NCIBLIND10/05-5,-1195.1425479981
NCIBLIND10/05-6,-1195.1412158673
NCIBLIND10/06-A,-225.8510621916
NCIBLIND10/06-B,-225.852034521
NCIBLIND10/06-1,-451.7124245184
NCIBLIND10/06-2,-451.7178187291
NCIBLIND10/06-3,-451.7110021015
NCIBLIND10/06-4,-451.706815542
NCIBLIND10/06-5,-451.7051230437
NCIBLIND10/06-6,-451.7043364492
NCIBLIND10/06-7,-451.7039213556
NCIBLIND10/07-A,-228.7428081203
NCIBLIND10/07-B,-228.7432419585
NCIBLIND10/07-1,-457.4870119
NCIBLIND10/07-2,-457.4884628494
NCIBLIND10/07-3,-457.4878462674
NCIBLIND10/07-4,-457.4867176939
NCIBLIND10/07-5,-457.48630151
NCIBLIND10/07-6,-457.486151869
NCIBLIND10/08-A,-436.0899288337
NCIBLIND10/08-B,-436.0899288336
NCIBLIND10/08-1,-872.1555024461
NCIBLIND10/08-2,-872.1722944784
NCIBLIND10/08-3,-872.1821353655
NCIBLIND10/08-4,-872.1814487048
NCIBLIND10/08-5,-872.1808269257
NCIBLIND10/08-6,-872.1805387516
NCIBLIND10/08-7,-872.1805320161
NCIBLIND10/09-A,-244.6978073898
NCIBLIND10/09-B,-244.6977086943
NCIBLIND10/09-1,-489.391536347
NCIBLIND10/09-2,-489.3991851211
NCIBLIND10/09-3,-489.3998650354
NCIBLIND10/09-4,-489.3977280945
NCIBLIND10/09-5,-489.3967361341
NCIBLIND10/09-6,-489.3962718118
NCIBLIND10/09-7,-489.3960236093
NCIBLIND10/10-A,-76.3372557242
NCIBLIND10/10-B,-76.3373101622
NCIBLIND10/10-1,-152.6643660886
NCIBLIND10/10-2,-152.6805156136
NCIBLIND10/10-3,-152.6828386561
NCIBLIND10/10-4,-152.6817481335
NCIBLIND10/10-5,-152.6801659438
NCIBLIND10/10-6,-152.6780676659
NCIBLIND10/10-7,-152.6768037973
NCIBLIND10/10-8,-152.6760366844
NCIBLIND10/10-9,-152.6755787075
NCIBLIND10/10-10,-152.6752955432
NCIBLIND10/10-11,-152.6751126918
NCIBLIND10/10-12,-152.6749905259
NCIBLIND10/10-13,-152.6749061991
NCIBLIND10/10-14,-152.6748441595
NCIBLIND10/10-15,-152.6747974947
NCIBLIND10/10-16,-152.6747615514
