system,DSDBLYP/def2-QZVP/ORCA
S66x8/66-150,-343.8748796837
S66x8/66-200,-343.8736776827
NCIBLIND10/01-A,-232.046462487
NCIBLIND10/01-B,-40.474824057
NCIBLIND10/01-1,-272.5193819687
NCIBLIND10/01-2,-272.5224633808
NCIBLIND10/01-3,-272.5218593715
NCIBLIND10/01-4,-272.5214738603
NCIBLIND10/01-5,-272.5213652102
NCIBLIND10/01-6,-272.5213232472
NCIBLIND10/01-7,-272.5213049893
NCIBLIND10/02-A,-232.0479396365
NCIBLIND10/02-B,-76.4002512945
NCIBLIND10/02-1,-308.4381242103
NCIBLIND10/02-2,-308.4515205031
NCIBLIND10/02-3,-308.4520897278
NCIBLIND10/02-4,-308.4509442568
NCIBLIND10/02-5,-308.4500242856
NCIBLIND10/02-6,-308.4494308004
NCIBLIND10/02-7,-308.4488003128
NCIBLIND10/02-8,-308.4485336776
NCIBLIND10/02-9,-308.4484010796
NCIBLIND10/03-A,-154.9385029858
NCIBLIND10/03-B,-154.9385008597
NCIBLIND10/03-1,-309.8769989291
NCIBLIND10/03-2,-309.8797046561
NCIBLIND10/03-3,-309.8785002068
NCIBLIND10/03-4,-309.8775736488
NCIBLIND10/03-5,-309.8772717392
NCIBLIND10/03-6,-309.8771488312
NCIBLIND10/03-7,-309.8770930366
NCIBLIND10/04-A,-599.1877049681
NCIBLIND10/04-B,-599.1889445113
NCIBLIND10/04-1,-1198.3840167742
NCIBLIND10/04-2,-1198.3910211153
NCIBLIND10/04-3,-1198.3879097994
NCIBLIND10/04-4,-1198.3825441467
NCIBLIND10/04-5,-1198.3798856682
NCIBLIND10/04-6,-1198.378505541
NCIBLIND10/04-7,-1198.3777385685
NCIBLIND10/04-8,-1198.3773028894
NCIBLIND10/05-A,-598.0243984548
NCIBLIND10/05-B,-598.0243463553
NCIBLIND10/05-1,-1196.0651711494
NCIBLIND10/05-2,-1196.0675616004
NCIBLIND10/05-3,-1196.0605047189
NCIBLIND10/05-4,-1196.0554755914
NCIBLIND10/05-5,-1196.0531074743
NCIBLIND10/05-6,-1196.0517817003
NCIBLIND10/06-A,-226.0558204347
NCIBLIND10/06-B,-226.0567988356
NCIBLIND10/06-1,-452.1219332273
NCIBLIND10/06-2,-452.1282985125
NCIBLIND10/06-3,-452.1209528514
NCIBLIND10/06-4,-452.1164781376
NCIBLIND10/06-5,-452.1147514877
NCIBLIND10/06-6,-452.1139326954
NCIBLIND10/06-7,-452.1134923224
NCIBLIND10/07-A,-228.938811397
NCIBLIND10/07-B,-228.9391660037
NCIBLIND10/07-1,-457.8810276392
NCIBLIND10/07-2,-457.8820314188
NCIBLIND10/07-3,-457.879944107
NCIBLIND10/07-4,-457.8787037955
NCIBLIND10/07-5,-457.8782801958
NCIBLIND10/07-6,-457.8781113423
NCIBLIND10/08-A,-436.4680581162
NCIBLIND10/08-B,-436.4680581167
NCIBLIND10/08-1,-872.9295823093
NCIBLIND10/08-2,-872.9421807697
NCIBLIND10/08-3,-872.9415522134
NCIBLIND10/08-4,-872.9384635179
NCIBLIND10/08-5,-872.9373643341
NCIBLIND10/08-6,-872.9369037997
NCIBLIND10/08-7,-872.9366878263
NCIBLIND10/09-A,-244.8903560262
NCIBLIND10/09-B,-244.8903103799
NCIBLIND10/09-1,-489.7824657175
NCIBLIND10/09-2,-489.7883981535
NCIBLIND10/09-3,-489.7854571854
NCIBLIND10/09-4,-489.7829541606
NCIBLIND10/09-5,-489.7819438853
NCIBLIND10/09-6,-489.7814536532
NCIBLIND10/09-7,-489.7811888829
NCIBLIND10/10-A,-76.400437642
NCIBLIND10/10-B,-76.4005318633
NCIBLIND10/10-1,-152.7881160757
NCIBLIND10/10-2,-152.8061463775
NCIBLIND10/10-3,-152.8091049615
NCIBLIND10/10-4,-152.8080766514
NCIBLIND10/10-5,-152.8064198884
NCIBLIND10/10-6,-152.8042729219
NCIBLIND10/10-7,-152.803042204
NCIBLIND10/10-8,-152.802349188
NCIBLIND10/10-9,-152.8019348894
NCIBLIND10/10-10,-152.8016701699
NCIBLIND10/10-11,-152.8014929299
NCIBLIND10/10-12,-152.8013708017
NCIBLIND10/10-13,-152.8012850369
NCIBLIND10/10-14,-152.8012215098
NCIBLIND10/10-15,-152.8011736889
NCIBLIND10/10-16,-152.8011368928
