system,PW91/def2-QZVP/ORCA
S66x8/66-150,-344.1567927813
S66x8/66-200,-344.1554023502
NCIBLIND10/01-A,-232.2467922299
NCIBLIND10/01-B,-40.5090168511
NCIBLIND10/01-1,-272.7528838285
NCIBLIND10/01-2,-272.7565711928
NCIBLIND10/01-3,-272.7566056337
NCIBLIND10/01-4,-272.7561064947
NCIBLIND10/01-5,-272.7558764112
NCIBLIND10/01-6,-272.755825012
NCIBLIND10/01-7,-272.7558161791
NCIBLIND10/02-A,-232.2474639496
NCIBLIND10/02-B,-76.4450427464
NCIBLIND10/02-1,-308.6826984435
NCIBLIND10/02-2,-308.6955742516
NCIBLIND10/02-3,-308.6964668979
NCIBLIND10/02-4,-308.6955803697
NCIBLIND10/02-5,-308.6946791054
NCIBLIND10/02-6,-308.6939518651
NCIBLIND10/02-7,-308.6930798764
NCIBLIND10/02-8,-308.6928025113
NCIBLIND10/02-9,-308.692689664
NCIBLIND10/03-A,-155.0527480744
NCIBLIND10/03-B,-155.052715115
NCIBLIND10/03-1,-310.1045541819
NCIBLIND10/03-2,-310.1076233482
NCIBLIND10/03-3,-310.1073941858
NCIBLIND10/03-4,-310.106253687
NCIBLIND10/03-5,-310.1057181755
NCIBLIND10/03-6,-310.105568303
NCIBLIND10/03-7,-310.1055276244
NCIBLIND10/04-A,-599.647262363
NCIBLIND10/04-B,-599.6476197195
NCIBLIND10/04-1,-1199.2955567377
NCIBLIND10/04-2,-1199.3038275138
NCIBLIND10/04-3,-1199.3047817428
NCIBLIND10/04-4,-1199.3008769613
NCIBLIND10/04-5,-1199.2982336594
NCIBLIND10/04-6,-1199.2966834791
NCIBLIND10/04-7,-1199.2958752703
NCIBLIND10/04-8,-1199.2954738505
NCIBLIND10/05-A,-598.4855817305
NCIBLIND10/05-B,-598.4859770153
NCIBLIND10/05-1,-1196.9866950486
NCIBLIND10/05-2,-1196.989269266
NCIBLIND10/05-3,-1196.9835373711
NCIBLIND10/05-4,-1196.9784535075
NCIBLIND10/05-5,-1196.9758821276
NCIBLIND10/05-6,-1196.9745438632
NCIBLIND10/06-A,-226.2416716355
NCIBLIND10/06-B,-226.2422701984
NCIBLIND10/06-1,-452.4935532327
NCIBLIND10/06-2,-452.4995154585
NCIBLIND10/06-3,-452.4922602878
NCIBLIND10/06-4,-452.4878073618
NCIBLIND10/06-5,-452.4859813645
NCIBLIND10/06-6,-452.485157536
NCIBLIND10/06-7,-452.4847477656
NCIBLIND10/07-A,-229.1007181214
NCIBLIND10/07-B,-229.1008844507
NCIBLIND10/07-1,-458.2037155685
NCIBLIND10/07-2,-458.2049910912
NCIBLIND10/07-3,-458.2038218971
NCIBLIND10/07-4,-458.2024230031
NCIBLIND10/07-5,-458.2018598555
NCIBLIND10/07-6,-458.201692568
NCIBLIND10/08-A,-436.8191299722
NCIBLIND10/08-B,-436.8191299722
NCIBLIND10/08-1,-873.6202883101
NCIBLIND10/08-2,-873.6355358997
NCIBLIND10/08-3,-873.6419685529
NCIBLIND10/08-4,-873.6403870292
NCIBLIND10/08-5,-873.6393047066
NCIBLIND10/08-6,-873.6389162323
NCIBLIND10/08-7,-873.6388157597
NCIBLIND10/09-A,-245.073820015
NCIBLIND10/09-B,-245.0737563912
NCIBLIND10/09-1,-490.1456173332
NCIBLIND10/09-2,-490.1527613208
NCIBLIND10/09-3,-490.1524646074
NCIBLIND10/09-4,-490.1499644483
NCIBLIND10/09-5,-490.1487621347
NCIBLIND10/09-6,-490.1482902903
NCIBLIND10/09-7,-490.1480551059
NCIBLIND10/10-A,-76.4450091235
NCIBLIND10/10-B,-76.4447303683
NCIBLIND10/10-1,-152.879127843
NCIBLIND10/10-2,-152.89635938
NCIBLIND10/10-3,-152.8988459434
NCIBLIND10/10-4,-152.8975885172
NCIBLIND10/10-5,-152.8958126273
NCIBLIND10/10-6,-152.8935063881
NCIBLIND10/10-7,-152.8924005658
NCIBLIND10/10-8,-152.8915483337
NCIBLIND10/10-9,-152.8910267756
NCIBLIND10/10-10,-152.890715306
NCIBLIND10/10-11,-152.8905280343
NCIBLIND10/10-12,-152.8904082958
NCIBLIND10/10-13,-152.8903263902
NCIBLIND10/10-14,-152.890266375
NCIBLIND10/10-15,-152.8902212645
NCIBLIND10/10-16,-152.8901865335
